City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Borujen,IR,43.86,clear sky,31.9652,51.2873,هتل فجر
Morant Bay,JM,80.19,few clouds,17.8815,-76.4093,Morant Villas
Luderitz,NA,66.6,clear sky,-26.6481,15.1594,Seaview Hotel Zum Sperrgebiet
Gaspe,CA,32.22,broken clouds,48.8334,-64.4819,Hotel Plante
Port Lincoln,AU,67.96,light rain,-34.7333,135.8667,Boston Hotel
Colonia,DE,54.95,clear sky,50.9333,6.95,"Wasserturm Hotel Cologne, Curio Collection by Hilton"
Margate,GB,53.69,overcast clouds,51.3813,1.3862,The Reading Rooms
Sao Jose Da Coroa Grande,BR,81.19,few clouds,-8.8978,-35.1478,Pousada e restaurante Lá na Praia
Kapa'A,US,75.52,clear sky,22.0752,-159.319,Pono Kai Resort
Correntina,BR,77.29,overcast clouds,-13.3433,-44.6367,Pousada Silva
Varkaus,FI,35.69,light rain,62.3153,27.873,Hotel Oscar
Lerwick,GB,38.26,light rain,60.1545,-1.1494,Grand Hotel
Puerto Ayacucho,VE,88.36,overcast clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
Papao,PF,85.68,scattered clouds,-17.75,-149.55,Hiti Moana Villa Lodge
Caleta De Carquin,PE,73.85,broken clouds,-11.0925,-77.6267,Hotel Mi Choacan
Shingu,JP,61.59,overcast clouds,33.7333,135.9833,ホテルニューパレス
Loja,EC,74.61,broken clouds,-3.9931,-79.2042,Hostal America
Labasa,FJ,80.56,overcast clouds,-16.4167,179.3833,Grand Eastern Hotel
Chonchi,CL,57.11,broken clouds,-42.6128,-73.8092,Hotel Huildín
Hauterive,FR,53.35,broken clouds,46.0901,3.4459,Logis Auberge Bourbonnaise
Kismayo,SO,81.93,overcast clouds,-0.3582,42.5454,Kismayo Hotel
Mossel Bay,ZA,66.13,broken clouds,-34.1831,22.146,Protea Hotel Mossel Bay
Jaunpils,LV,39.47,few clouds,56.7325,23.0136,Jaunpils pils
Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hotel Gondwana
Ambanja,MG,73.24,light rain,-13.6833,48.45,Hôtel Salama Rose
